,,,,,,,,,,,,,,,2018 Fungal Genera Count,,,,,,,,,,,,,,,,,,,,,,,,,,
,Saccharomyces,Starmerella,Metschnikowia,Aureobasidium,Hanseniaspora,Cladosporium,Penicillium,Botryotinia,Heterocephalacria,Didymosphaeria,Vishniacozyma,Fellozyma,Mucor,Alternaria,Saturnispora,Pichia,Torulaspora,Candida,Sporobolomyces,Rhodotorula,Exobasidiomycetes Class,Hypocreales Order,Sordaria,Dissoconium,Acremonium,Scheffersomyces,Pleosporales Order,Debaryomycetaceae Family,Praetumpfia,Chaetomiaceae Family,Saccharomycetales Order,Ruinenia,Erysiphe,Cystofilobasidium,Cladosporiaceae Family,Acrospeira,Seiridium,Xylariales Order,Coniochaeta,Ustilago,Kondoa
18SV1f,25,1383,20,186,2207,428,166,236,0,44,69,13,73,34,18,0,0,15,6,0,0,7,0,13,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
18SV2f,2469,1287,0,24,673,79,49,26,0,0,16,0,18,0,15,33,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18SV3f,2235,1039,0,23,273,20,45,26,0,0,0,0,0,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18SV4f,2001,572,2,17,173,0,26,14,0,0,16,0,0,0,0,0,4,0,0,0,15,0,0,0,0,0,0,8,0,0,0,0,0,0,5,0,0,0,0,0,0
18SW1f,15,768,0,136,710,303,164,160,3,25,43,0,17,18,3,30,0,6,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18SW2f,2520,621,0,18,263,65,48,16,0,0,0,0,0,4,0,0,8,0,0,0,17,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
18SW3f,3831,769,0,20,282,21,67,33,0,7,0,0,0,0,0,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
18SW4f,2435,1044,9,58,529,34,28,12,0,10,12,0,21,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total,15531,7483,31,482,5110,950,593,523,3,86,156,13,129,64,40,81,17,24,6,0,32,15,0,13,13,0,0,8,0,0,6,0,0,0,5,0,4,0,0,2,0
Sum Total,31420,31420,31420,31420,31420,31420,31420,31420,31420,31420,31420,31420,31420,31420,31420,31420,31420,31420,31420,31420,31420,31420,31420,31420,31420,31420,31420,31420,31420,31420,31420,31420,31420,31420,31420,31420,31420,31420,31420,31420,31420
Percent,49.43029917,23.81604074,0.098663272,1.534054742,16.26352642,3.023551878,1.887332909,1.664544876,0.009548059,0.273711012,0.496499045,0.04137492,0.410566518,0.203691916,0.127307447,0.257797581,0.054105665,0.076384468,0.019096117,0,0.101845958,0.047740293,0,0.04137492,0.04137492,0,0,0.025461489,0,0,0.019096117,0,0,0,0.015913431,0,0.012730745,0,0,0.006365372,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,2021 Fungal Genera Count,,,,,,,,,,,,,,,,,,,,,,,,,,
,Saccharomyces,Starmerella,Metschnikowia,Aureobasidium,Hanseniaspora,Cladosporium,Penicillium,Botryotinia,Heterocephalacria,Didymosphaeria,Vishniacozyma,Fellozyma,Mucor,Alternaria,Saturnispora,Pichia,Torulaspora,Candida,Sporobolomyces,Rhodotorula,Exobasidiomycetes Class,Hypocreales Order,Sordaria,Dissoconium,Acremonium,Scheffersomyces,Pleosporales Order,Debaryomycetaceae Family,Praetumpfia,Chaetomiaceae Family,Saccharomycetales Order,Ruinenia,Erysiphe,Cystofilobasidium,Cladosporiaceae Family,Acrospeira,Seiridium,Xylariales Order,Coniochaeta,Ustilago,Kondoa
21SV1f,158,0,1814,1839,250,409,18,17,151,36,165,146,15,19,0,0,0,0,15,19,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2
21SV2f,1188,0,2262,1859,642,447,0,11,71,42,50,70,4,14,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,5,0,0,0,0,0
21SV3f,2504,0,814,597,223,154,0,5,26,18,31,28,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21SV4f,2976,0,1114,493,129,96,0,0,15,10,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21SW1f,18,0,30,437,0,361,9,8,108,77,73,0,0,22,0,0,0,0,0,0,0,0,14,0,0,0,9,0,7,0,0,0,6,0,0,3,0,3,0,0,0
21SW2f,4903,0,1781,566,292,128,7,0,27,25,18,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,6,0,0,0,0,3,0,0
21SW3f,2853,0,1094,357,209,181,11,0,18,25,13,7,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
