,,,,,Bacterial genera 2016 Vintage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample ID,Pediococcus,Enterobacteriaceae Family,Rhodococcus,Klebsiella,Komagataeibacter,Acetobacter,Ammoniphilus,Gluconobacter,Paenibacillus,Yersinia,Bacillus,Solirubrobacteraceae Family,Brevundimonas,Enterococcus,Xanthobacteraceae Family,Pedobacter,Anoxybacillus,Rhizobium,Bosea,Aureimonas,Actinotignum,Pirellulaceae Family,Devosiaceae Family,Aeromicrobium,Sandaracinus,Geobacillus,Bradyrhizobium,Variovorax,Phyllobacterium,Brevibacillus,Lautropia,Curtobacterium,Staphylococcus,Shinella,Pseudomonas,Weissella,Orbaceae Family,Blastococcus,Brevibacterium,Micrococcus,Pseudorhodoplanes,Lactococcus,Pantoea,Burkholderiaceae Family,Streptococcus,Acinetobacter,Nocardioides,Mesorhizobium,Lawsonella,Methylobacterium,Chungangia,Bacillaceae Family,Lactobacillus,Prosthecobacter,Dokdonella,Moheibacter,Pseudoxanthomonas,Sphingomonas,Peredibacter,Cloacibacterium,Bifidobacterium,Anaerococcus,Tepidimonas,Sphingobacterium,Tatumella,Pseudochrobactrum,Acetobacteraceae Family,Listeria,Wolbachia,Cutibacterium,Ornithinimicrobium,Aquabacterium,Lachnoclostridium_5,NS9_marine_group Family,Rhodopseudomonas,Verticia,Luteibacter
OBYR16,11554,0,0,0,21,0,27,0,0,0,16,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,7,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,0,0
Sum total,11833,11833,11833,11833,11833,11833,11833,11833,11833,11833,11833,11833,11833,11833,11833,11833,11833,11833,11833,11833,11833,11833,11833,11833,11833,11833,11833,11833,11833,11833,11833,11833,11833,11833,11833,11833,11833,11833,11833,11833,11833,11833,11833,11833,11833,11833,11833,11833,11833,11833,11833,11833,11833,11833,11833,11833,11833,11833,11833,11833,11833,11833,11833,11833,11833,11833,11833,11833,11833,11833,11833,11833,11833,11833,11833,11833,11833
Percent,97.6421871,0,0,0,0.177469788,0,0.228175442,0,0,0,0.135215076,0,0.169018846,0,0,0,0,0,0,0,0,0,0,0,0,0,0.152116961,0,0,0,0,0,0,0,0.059156596,0,0,0,0,0,0,0.067607538,0,0,0,0,0,0,0,0,0,0,1.242288515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.076058481,0.050705654,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Bacterial genera 2017 Vintage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample ID,Pediococcus,Enterobacteriaceae Family,Rhodococcus,Klebsiella,Komagataeibacter,Acetobacter,Ammoniphilus,Gluconobacter,Paenibacillus,Yersinia,Bacillus,Solirubrobacteraceae Family,Brevundimonas,Enterococcus,Xanthobacteraceae Family,Pedobacter,Anoxybacillus,Rhizobium,Bosea,Aureimonas,Actinotignum,Pirellulaceae Family,Devosiaceae Family,Aeromicrobium,Sandaracinus,Geobacillus,Bradyrhizobium,Variovorax,Phyllobacterium,Brevibacillus,Lautropia,Curtobacterium,Staphylococcus,Shinella,Pseudomonas,Weissella,Orbaceae Family,Blastococcus,Brevibacterium,Micrococcus,Pseudorhodoplanes,Lactococcus,Pantoea,Burkholderiaceae Family,Streptococcus,Acinetobacter,Nocardioides,Mesorhizobium,Lawsonella,Methylobacterium,Chungangia,Bacillaceae Family,Lactobacillus,Prosthecobacter,Dokdonella,Moheibacter,Pseudoxanthomonas,Sphingomonas,Peredibacter,Cloacibacterium,Bifidobacterium,Anaerococcus,Tepidimonas,Sphingobacterium,Tatumella,Pseudochrobactrum,Acetobacteraceae Family,Listeria,Wolbachia,Cutibacterium,Ornithinimicrobium,Aquabacterium,Lachnoclostridium_5,NS9_marine_group Family,Rhodopseudomonas,Verticia,Luteibacter
OBYR17,3843,0,0,0,2573,2464,0,0,1853,0,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,18,0,0,0,10,0,0,5,0
Sum total,11323,11323,11323,11323,11323,11323,11323,11323,11323,11323,11323,11323,11323,11323,11323,11323,11323,11323,11323,11323,11323,11323,11323,11323,11323,11323,11323,11323,11323,11323,11323,11323,11323,11323,11323,11323,11323,11323,11323,11323,11323,11323,11323,11323,11323,11323,11323,11323,11323,11323,11323,11323,11323,11323,11323,11323,11323,11323,11323,11323,11323,11323,11323,11323,11323,11323,11323,11323,11323,11323,11323,11323,11323,11323,11323,11323,11323
Percent,33.93976861,0,0,0,22.72365981,21.7610174,0,0,16.36492096,0,2.552327122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.252053343,0,0,0,0,0,0,0.070652654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.044157909,0,0,0,0,0,0,0,0,0,0.158968471,0,0,0,0.088315817,0,0,0.044157909,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Bacterial genera 2019 Vintage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample ID,Pediococcus,Enterobacteriaceae Family,Rhodococcus,Klebsiella,Komagataeibacter,Acetobacter,Ammoniphilus,Gluconobacter,Paenibacillus,Yersinia,Bacillus,Solirubrobacteraceae Family,Brevundimonas,Enterococcus,Xanthobacteraceae Family,Pedobacter,Anoxybacillus,Rhizobium,Bosea,Aureimonas,Actinotignum,Pirellulaceae Family,Devosiaceae Family,Aeromicrobium,Sandaracinus,Geobacillus,Bradyrhizobium,Variovorax,Phyllobacterium,Brevibacillus,Lautropia,Curtobacterium,Staphylococcus,Shinella,Pseudomonas,Weissella,Orbaceae Family,Blastococcus,Brevibacterium,Micrococcus,Pseudorhodoplanes,Lactococcus,Pantoea,Burkholderiaceae Family,Streptococcus,Acinetobacter,Nocardioides,Mesorhizobium,Lawsonella,Methylobacterium,Chungangia,Bacillaceae Family,Lactobacillus,Prosthecobacter,Dokdonella,Moheibacter,Pseudoxanthomonas,Sphingomonas,Peredibacter,Cloacibacterium,Bifidobacterium,Anaerococcus,Tepidimonas,Sphingobacterium,Tatumella,Pseudochrobactrum,Acetobacteraceae Family,Listeria,Wolbachia,Cutibacterium,Ornithinimicrobium,Aquabacterium,Lachnoclostridium_5,NS9_marine_group Family,Rhodopseudomonas,Verticia,Luteibacter
OBYR19,17434,115,15,0,17,60,0,0,0,190,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0
Sum total,17873,17873,17873,17873,17873,17873,17873,17873,17873,17873,17873,17873,17873,17873,17873,17873,17873,17873,17873,17873,17873,17873,17873,17873,17873,17873,17873,17873,17873,17873,17873,17873,17873,17873,17873,17873,17873,17873,17873,17873,17873,17873,17873,17873,17873,17873,17873,17873,17873,17873,17873,17873,17873,17873,17873,17873,17873,17873,17873,17873,17873,17873,17873,17873,17873,17873,17873,17873,17873,17873,17873,17873,17873,17873,17873,17873,17873
