,,,,,Fungal genera 2016 Vintage,,,,,,,,,,,,,,,,,,,,,,
Sample ID,Penicillium,Saccharomyces,Kregervanrija,Aspergillus,Hanseniaspora,Brettanomyces,Cladosporium,Debaryomyces ,Tilletiopsis,Rhodotorula,Metschnikowia,Aureobasidium ,Hyphodontia,Debaryomycetaceae Family,Cystofilobasidium,Ramularia,Vishniacozyma,Didymosphaeria,Naganishia,Sistotrema,Lanchancea,Leucosporidiaceae Family,Sporobolomyces,Alternaria,Torulaspora,Saccharomycetaceae Family,Pichia
OBYR16,7501,468,0,456,434,453,172,0,0,63,132,152,0,8,0,0,82,0,0,0,0,53,0,0,43,0,0
Sum total,10017,10017,10017,10017,10017,10017,10017,10017,10017,10017,10017,10017,10017,10017,10017,10017,10017,10017,10017,10017,10017,10017,10017,10017,10017,10017,10017
Percent,74.88269941,4.672057502,0,4.552261156,4.332634521,4.522312069,1.717080962,0,0,0.628930818,1.317759808,1.517420385,0,0.079864231,0,0,0.818608366,0,0,0,0,0.529100529,0,0,0.429270241,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Fungal genera 2017 Vintage,,,,,,,,,,,,,,,,,,,,,,
Sample ID,Penicillium,Saccharomyces,Kregervanrija,Aspergillus,Hanseniaspora,Brettanomyces,Cladosporium,Debaryomyces ,Tilletiopsis,Rhodotorula,Metschnikowia,Aureobasidium ,Hyphodontia,Debaryomycetaceae Family,Cystofilobasidium,Ramularia,Vishniacozyma,Didymosphaeria,Naganishia,Sistotrema,Lanchancea,Leucosporidiaceae Family,Sporobolomyces,Alternaria,Torulaspora,Saccharomycetaceae Family,Pichia
OBYR17,663,795,0,1062,414,1917,90,707,0,44,59,0,0,0,0,0,48,141,107,95,0,0,0,47,0,0,10
Sum total,6199,6199,6199,6199,6199,6199,6199,6199,6199,6199,6199,6199,6199,6199,6199,6199,6199,6199,6199,6199,6199,6199,6199,6199,6199,6199,6199
Percent,10.69527343,12.82464914,0,17.13179545,6.678496532,30.92434264,1.451847072,11.40506533,0,0.709791902,0.951766414,0,0,0,0,0,0.774318438,2.274560413,1.726084852,1.532505243,0,0,0,0.758186804,0,0,0.161316341
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Fungal genera 2019 Vintage,,,,,,,,,,,,,,,,,,,,,,
